Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Atlético de Madrid,38,28,6,4,77:26,51,90,ES1,2014
2,FC Barcelona,38,27,6,5,100:33,67,87,ES1,2014
3,Real Madrid,38,27,6,5,104:38,66,87,ES1,2014
4,Athletic Bilbao,38,20,10,8,66:39,27,70,ES1,2014
5,Sevilla FC,38,18,9,11,69:52,17,63,ES1,2014
6,Villarreal CF,38,17,8,13,60:44,16,59,ES1,2014
7,Real Sociedad,38,16,11,11,62:55,7,59,ES1,2014
8,Valencia CF,38,13,10,15,51:53,-2,49,ES1,2014
9,Celta de Vigo,38,14,7,17,49:54,-5,49,ES1,2014
10,Levante UD,38,12,12,14,35:43,-8,48,ES1,2014
11,Málaga CF,38,12,9,17,39:46,-7,45,ES1,2014
12,Rayo Vallecano,38,13,4,21,46:80,-34,43,ES1,2014
13,Getafe CF,38,11,9,18,35:54,-19,42,ES1,2014
14,RCD Espanyol Barcelona,38,11,9,18,41:51,-10,42,ES1,2014
15,Granada CF,38,12,5,21,32:56,-24,41,ES1,2014
16,Elche CF,38,9,13,16,30:50,-20,40,ES1,2014
17,UD Almería,38,11,7,20,43:71,-28,40,ES1,2014
18,CA Osasuna,38,10,9,19,32:62,-30,39,ES1,2014
19,Real Valladolid CF,38,7,15,16,38:60,-22,36,ES1,2014
20,Real Betis Balompié,38,6,7,25,36:78,-42,25,ES1,2014
